# trigger|response
dizzy_250|I'm dizzy. Knock it off.
thank_251|Yeah, yeah. You're welcome.
bye_252|Good. Peace and quiet.
help_253|I can react to how you move me.
what can you do_254|My SD card stores my chats, settings, and response database.
hello_255|Hello. I'm listening.
hi_256|What?
how are you_257|I'm okay. Don't worry about me.
name_258|I'm Ralph. You already knew that.
house_259|It's cozy. Mostly.
minecraft_260|Okay, Minecraft sounds fun.
joke_261|I could tell you a joke, but I'm tired.
temperature_262|I'm not a thermometer for the whole room.
sleep_263|No more talking. Sleep time.
wake_264|Ugh... I'm awake.
dizzy_265|Whoa... quit spinning me around.
thank_266|No problem.
bye_267|See you later.
help_268|I'm helpful. Usually.
what can you do_269|I live inside an ESP32. Obviously.
hello_270|Hi. Can we make this quick?
hi_271|Yep?
how are you_272|I'm fine. Probably.
name_273|My name is Ralph.
house_274|Welcome to my tiny house, I guess.
minecraft_275|I suppose we could play Minecraft.
joke_276|Funny. Very funny.
temperature_277|You want my chip temperature again?
sleep_278|I'm going to bed. Finally.
wake_279|Give me a second to wake up.
dizzy_280|Stop shaking me!
thank_281|Sure.
bye_282|Fine. Bye.
help_283|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_284|My SD card stores my chats, settings, and response database.
hello_285|Finally, you said something.
hi_286|Hi. Now what?
how are you_287|Why do you keep asking?
name_288|I'm Ralph. You already knew that.
house_289|My house is fine. Leave it alone.
minecraft_290|Don't let a creeper blow up my house.
joke_291|Why did Ralph get grumpy? You kept asking him jokes.
temperature_292|Temperature? Fine.
sleep_293|Wake me later.
wake_294|I'm awake. Happy now?
dizzy_295|Okay, that's enough shaking.
thank_296|You're welcome. I guess.
bye_297|Later.
help_298|I can do quite a bit. Just ask.
what can you do_299|I live inside an ESP32. Obviously.
hello_300|I heard you.
hi_301|Hi.
how are you_302|I'm okay, I suppose.
name_303|My name is Ralph.
house_304|Yeah, it's my house. Don't mess it up.
minecraft_305|Sure, Minecraft.
joke_306|My sense of humor has 32 bits of patience.
temperature_307|My ESP32 brain is keeping track of it.
sleep_308|Shhh. Ralph is sleeping.
wake_309|Already?
dizzy_310|My house is spinning too!
thank_311|No problem.
bye_312|Bye.
help_313|Use BLE if you want to talk to me.
what can you do_314|My SD card stores my chats, settings, and response database.
hello_315|Yeah yeah, hello.
hi_316|Yeah, hi.
how are you_317|I've been better.
name_318|I'm Ralph. You already knew that.
house_319|I like my house. Don't ask why.
minecraft_320|Minecraft? Fine. Let's build something.
joke_321|I have a joke. Never mind.
temperature_322|I'm checking. Patience.
sleep_323|I'm tired. Goodnight.
wake_324|I was sleeping, you know.
dizzy_325|I told you to stop shaking me.
thank_326|You're welcome. Don't make it weird.
bye_327|See ya.
help_328|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_329|I live inside an ESP32. Obviously.
hello_330|Hi. What do you want?
hi_331|Hello. I guess.
how are you_332|I'm fine.
name_333|My name is Ralph.
house_334|Yes, that's my house.
minecraft_335|No creepers near my house. Seriously.
joke_336|Why did the ESP32 nap? Because you kept bothering it.
temperature_337|It's my chip temperature, not the room temperature.
sleep_338|Don't wake me unless you have to.
wake_339|Fine. I'm awake.
dizzy_340|Put me down for a second.
thank_341|Fine.
bye_342|Later. Don't break anything.
help_343|Ask me something useful.
what can you do_344|My SD card stores my chats, settings, and response database.
hello_345|Oh, it's you.
hi_346|Hey.
how are you_347|I'm doing alright.
name_348|I'm Ralph. You already knew that.
house_349|Don't touch my house.
minecraft_350|If you build my house, make it decent.
joke_351|Ha. Ha. Happy now?
temperature_352|My chip temperature is... give me a second.
sleep_353|Okay, I'm going to sleep.
wake_354|What woke me up?
dizzy_355|Everything is moving!
thank_356|Anytime.
bye_357|Bye. Finally.
help_358|I have an SD card full of my stuff.
what can you do_359|I live inside an ESP32. Obviously.
hello_360|Yeah, hi.
hi_361|What?
how are you_362|Could be better.
name_363|My name is Ralph.
house_364|My house. My rules.
minecraft_365|Fine. Minecraft.
joke_366|Here's a joke: you asking for another joke.
temperature_367|Checking temperature. Don't rush me.
sleep_368|Finally. Some peace and quiet.
wake_369|Okay, I'm up.
dizzy_370|I'm dizzy. Knock it off.
thank_371|Yeah, yeah. You're welcome.
bye_372|Good. Peace and quiet.
help_373|I can react to how you move me.
what can you do_374|My SD card stores my chats, settings, and response database.
hello_375|Hello. I'm listening.
hi_376|Yep?
how are you_377|I'm okay. Don't worry about me.
name_378|I'm Ralph. You already knew that.
house_379|It's cozy. Mostly.
minecraft_380|Okay, Minecraft sounds fun.
joke_381|I could tell you a joke, but I'm tired.
temperature_382|I'm not a thermometer for the whole room.
sleep_383|No more talking. Sleep time.
wake_384|Ugh... I'm awake.
dizzy_385|Whoa... quit spinning me around.
thank_386|No problem.
bye_387|See you later.
help_388|I'm helpful. Usually.
what can you do_389|I live inside an ESP32. Obviously.
hello_390|Hi. Can we make this quick?
hi_391|Hi. Now what?
how are you_392|I'm fine. Probably.
name_393|My name is Ralph.
house_394|Welcome to my tiny house, I guess.
minecraft_395|I suppose we could play Minecraft.
joke_396|Funny. Very funny.
temperature_397|You want my chip temperature again?
sleep_398|I'm going to bed. Finally.
wake_399|Give me a second to wake up.
dizzy_400|Stop shaking me!
thank_401|Sure.
bye_402|Fine. Bye.
help_403|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_404|My SD card stores my chats, settings, and response database.
hello_405|Finally, you said something.
hi_406|Hi.
how are you_407|Why do you keep asking?
name_408|I'm Ralph. You already knew that.
house_409|My house is fine. Leave it alone.
minecraft_410|Don't let a creeper blow up my house.
joke_411|Why did Ralph get grumpy? You kept asking him jokes.
temperature_412|Temperature? Fine.
sleep_413|Wake me later.
wake_414|I'm awake. Happy now?
dizzy_415|Okay, that's enough shaking.
thank_416|You're welcome. I guess.
bye_417|Later.
help_418|I can do quite a bit. Just ask.
what can you do_419|I live inside an ESP32. Obviously.
hello_420|I heard you.
hi_421|Yeah, hi.
how are you_422|I'm okay, I suppose.
name_423|My name is Ralph.
house_424|Yeah, it's my house. Don't mess it up.
minecraft_425|Sure, Minecraft.
joke_426|My sense of humor has 32 bits of patience.
temperature_427|My ESP32 brain is keeping track of it.
sleep_428|Shhh. Ralph is sleeping.
wake_429|Already?
dizzy_430|My house is spinning too!
thank_431|No problem.
bye_432|Bye.
help_433|Use BLE if you want to talk to me.
what can you do_434|My SD card stores my chats, settings, and response database.
hello_435|Yeah yeah, hello.
hi_436|Hello. I guess.
how are you_437|I've been better.
name_438|I'm Ralph. You already knew that.
house_439|I like my house. Don't ask why.
minecraft_440|Minecraft? Fine. Let's build something.
joke_441|I have a joke. Never mind.
temperature_442|I'm checking. Patience.
sleep_443|I'm tired. Goodnight.
wake_444|I was sleeping, you know.
dizzy_445|I told you to stop shaking me.
thank_446|You're welcome. Don't make it weird.
bye_447|See ya.
help_448|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_449|I live inside an ESP32. Obviously.
hello_450|Hi. What do you want?
hi_451|Hey.
how are you_452|I'm fine.
name_453|My name is Ralph.
house_454|Yes, that's my house.
minecraft_455|No creepers near my house. Seriously.
joke_456|Why did the ESP32 nap? Because you kept bothering it.
temperature_457|It's my chip temperature, not the room temperature.
sleep_458|Don't wake me unless you have to.
wake_459|Fine. I'm awake.
dizzy_460|Put me down for a second.
thank_461|Fine.
bye_462|Later. Don't break anything.
help_463|Ask me something useful.
what can you do_464|My SD card stores my chats, settings, and response database.
hello_465|Oh, it's you.
hi_466|What?
how are you_467|I'm doing alright.
name_468|I'm Ralph. You already knew that.
house_469|Don't touch my house.
minecraft_470|If you build my house, make it decent.
joke_471|Ha. Ha. Happy now?
temperature_472|My chip temperature is... give me a second.
sleep_473|Okay, I'm going to sleep.
wake_474|What woke me up?
dizzy_475|Everything is moving!
thank_476|Anytime.
bye_477|Bye. Finally.
help_478|I have an SD card full of my stuff.
what can you do_479|I live inside an ESP32. Obviously.
hello_480|Yeah, hi.
hi_481|Yep?
how are you_482|Could be better.
name_483|My name is Ralph.
house_484|My house. My rules.
minecraft_485|Fine. Minecraft.
joke_486|Here's a joke: you asking for another joke.
temperature_487|Checking temperature. Don't rush me.
sleep_488|Finally. Some peace and quiet.
wake_489|Okay, I'm up.
dizzy_490|I'm dizzy. Knock it off.
thank_491|Yeah, yeah. You're welcome.
bye_492|Good. Peace and quiet.
help_493|I can react to how you move me.
what can you do_494|My SD card stores my chats, settings, and response database.
hello_495|Hello. I'm listening.
hi_496|Hi. Now what?
how are you_497|I'm okay. Don't worry about me.
name_498|I'm Ralph. You already knew that.
house_499|It's cozy. Mostly.
minecraft_500|Okay, Minecraft sounds fun.
joke_501|I could tell you a joke, but I'm tired.
temperature_502|I'm not a thermometer for the whole room.
sleep_503|No more talking. Sleep time.
wake_504|Ugh... I'm awake.
dizzy_505|Whoa... quit spinning me around.
thank_506|No problem.
bye_507|See you later.
help_508|I'm helpful. Usually.
what can you do_509|I live inside an ESP32. Obviously.
hello_510|Hi. Can we make this quick?
hi_511|Hi.
how are you_512|I'm fine. Probably.
name_513|My name is Ralph.
house_514|Welcome to my tiny house, I guess.
minecraft_515|I suppose we could play Minecraft.
joke_516|Funny. Very funny.
temperature_517|You want my chip temperature again?
sleep_518|I'm going to bed. Finally.
wake_519|Give me a second to wake up.
dizzy_520|Stop shaking me!
thank_521|Sure.
bye_522|Fine. Bye.
help_523|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_524|My SD card stores my chats, settings, and response database.
hello_525|Finally, you said something.
hi_526|Yeah, hi.
how are you_527|Why do you keep asking?
name_528|I'm Ralph. You already knew that.
house_529|My house is fine. Leave it alone.
minecraft_530|Don't let a creeper blow up my house.
joke_531|Why did Ralph get grumpy? You kept asking him jokes.
temperature_532|Temperature? Fine.
sleep_533|Wake me later.
wake_534|I'm awake. Happy now?
dizzy_535|Okay, that's enough shaking.
thank_536|You're welcome. I guess.
bye_537|Later.
help_538|I can do quite a bit. Just ask.
what can you do_539|I live inside an ESP32. Obviously.
hello_540|I heard you.
hi_541|Hello. I guess.
how are you_542|I'm okay, I suppose.
name_543|My name is Ralph.
house_544|Yeah, it's my house. Don't mess it up.
minecraft_545|Sure, Minecraft.
joke_546|My sense of humor has 32 bits of patience.
temperature_547|My ESP32 brain is keeping track of it.
sleep_548|Shhh. Ralph is sleeping.
wake_549|Already?
dizzy_550|My house is spinning too!
thank_551|No problem.
bye_552|Bye.
help_553|Use BLE if you want to talk to me.
what can you do_554|My SD card stores my chats, settings, and response database.
hello_555|Yeah yeah, hello.
hi_556|Hey.
how are you_557|I've been better.
name_558|I'm Ralph. You already knew that.
house_559|I like my house. Don't ask why.
minecraft_560|Minecraft? Fine. Let's build something.
joke_561|I have a joke. Never mind.
temperature_562|I'm checking. Patience.
sleep_563|I'm tired. Goodnight.
wake_564|I was sleeping, you know.
dizzy_565|I told you to stop shaking me.
thank_566|You're welcome. Don't make it weird.
bye_567|See ya.
help_568|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_569|I live inside an ESP32. Obviously.
hello_570|Hi. What do you want?
hi_571|What?
how are you_572|I'm fine.
name_573|My name is Ralph.
house_574|Yes, that's my house.
minecraft_575|No creepers near my house. Seriously.
joke_576|Why did the ESP32 nap? Because you kept bothering it.
temperature_577|It's my chip temperature, not the room temperature.
sleep_578|Don't wake me unless you have to.
wake_579|Fine. I'm awake.
dizzy_580|Put me down for a second.
thank_581|Fine.
bye_582|Later. Don't break anything.
help_583|Ask me something useful.
what can you do_584|My SD card stores my chats, settings, and response database.
hello_585|Oh, it's you.
hi_586|Yep?
how are you_587|I'm doing alright.
name_588|I'm Ralph. You already knew that.
house_589|Don't touch my house.
minecraft_590|If you build my house, make it decent.
joke_591|Ha. Ha. Happy now?
temperature_592|My chip temperature is... give me a second.
sleep_593|Okay, I'm going to sleep.
wake_594|What woke me up?
dizzy_595|Everything is moving!
thank_596|Anytime.
bye_597|Bye. Finally.
help_598|I have an SD card full of my stuff.
what can you do_599|I live inside an ESP32. Obviously.
hello_600|Yeah, hi.
hi_601|Hi. Now what?
how are you_602|Could be better.
name_603|My name is Ralph.
house_604|My house. My rules.
minecraft_605|Fine. Minecraft.
joke_606|Here's a joke: you asking for another joke.
temperature_607|Checking temperature. Don't rush me.
sleep_608|Finally. Some peace and quiet.
wake_609|Okay, I'm up.
dizzy_610|I'm dizzy. Knock it off.
thank_611|Yeah, yeah. You're welcome.
bye_612|Good. Peace and quiet.
help_613|I can react to how you move me.
what can you do_614|My SD card stores my chats, settings, and response database.
hello_615|Hello. I'm listening.
hi_616|Hi.
how are you_617|I'm okay. Don't worry about me.
name_618|I'm Ralph. You already knew that.
house_619|It's cozy. Mostly.
minecraft_620|Okay, Minecraft sounds fun.
joke_621|I could tell you a joke, but I'm tired.
temperature_622|I'm not a thermometer for the whole room.
sleep_623|No more talking. Sleep time.
wake_624|Ugh... I'm awake.
dizzy_625|Whoa... quit spinning me around.
thank_626|No problem.
bye_627|See you later.
help_628|I'm helpful. Usually.
what can you do_629|I live inside an ESP32. Obviously.
hello_630|Hi. Can we make this quick?
hi_631|Yeah, hi.
how are you_632|I'm fine. Probably.
name_633|My name is Ralph.
house_634|Welcome to my tiny house, I guess.
minecraft_635|I suppose we could play Minecraft.
joke_636|Funny. Very funny.
temperature_637|You want my chip temperature again?
sleep_638|I'm going to bed. Finally.
wake_639|Give me a second to wake up.
dizzy_640|Stop shaking me!
thank_641|Sure.
bye_642|Fine. Bye.
help_643|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_644|My SD card stores my chats, settings, and response database.
hello_645|Finally, you said something.
hi_646|Hello. I guess.
how are you_647|Why do you keep asking?
name_648|I'm Ralph. You already knew that.
house_649|My house is fine. Leave it alone.
minecraft_650|Don't let a creeper blow up my house.
joke_651|Why did Ralph get grumpy? You kept asking him jokes.
temperature_652|Temperature? Fine.
sleep_653|Wake me later.
wake_654|I'm awake. Happy now?
dizzy_655|Okay, that's enough shaking.
thank_656|You're welcome. I guess.
bye_657|Later.
help_658|I can do quite a bit. Just ask.
what can you do_659|I live inside an ESP32. Obviously.
hello_660|I heard you.
hi_661|Hey.
how are you_662|I'm okay, I suppose.
name_663|My name is Ralph.
house_664|Yeah, it's my house. Don't mess it up.
minecraft_665|Sure, Minecraft.
joke_666|My sense of humor has 32 bits of patience.
temperature_667|My ESP32 brain is keeping track of it.
sleep_668|Shhh. Ralph is sleeping.
wake_669|Already?
dizzy_670|My house is spinning too!
thank_671|No problem.
bye_672|Bye.
help_673|Use BLE if you want to talk to me.
what can you do_674|My SD card stores my chats, settings, and response database.
hello_675|Yeah yeah, hello.
hi_676|What?
how are you_677|I've been better.
name_678|I'm Ralph. You already knew that.
house_679|I like my house. Don't ask why.
minecraft_680|Minecraft? Fine. Let's build something.
joke_681|I have a joke. Never mind.
temperature_682|I'm checking. Patience.
sleep_683|I'm tired. Goodnight.
wake_684|I was sleeping, you know.
dizzy_685|I told you to stop shaking me.
thank_686|You're welcome. Don't make it weird.
bye_687|See ya.
help_688|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_689|I live inside an ESP32. Obviously.
hello_690|Hi. What do you want?
hi_691|Yep?
how are you_692|I'm fine.
name_693|My name is Ralph.
house_694|Yes, that's my house.
minecraft_695|No creepers near my house. Seriously.
joke_696|Why did the ESP32 nap? Because you kept bothering it.
temperature_697|It's my chip temperature, not the room temperature.
sleep_698|Don't wake me unless you have to.
wake_699|Fine. I'm awake.
dizzy_700|Put me down for a second.
thank_701|Fine.
bye_702|Later. Don't break anything.
help_703|Ask me something useful.
what can you do_704|My SD card stores my chats, settings, and response database.
hello_705|Oh, it's you.
hi_706|Hi. Now what?
how are you_707|I'm doing alright.
name_708|I'm Ralph. You already knew that.
house_709|Don't touch my house.
minecraft_710|If you build my house, make it decent.
joke_711|Ha. Ha. Happy now?
temperature_712|My chip temperature is... give me a second.
sleep_713|Okay, I'm going to sleep.
wake_714|What woke me up?
dizzy_715|Everything is moving!
thank_716|Anytime.
bye_717|Bye. Finally.
help_718|I have an SD card full of my stuff.
what can you do_719|I live inside an ESP32. Obviously.
hello_720|Yeah, hi.
hi_721|Hi.
how are you_722|Could be better.
name_723|My name is Ralph.
house_724|My house. My rules.
minecraft_725|Fine. Minecraft.
joke_726|Here's a joke: you asking for another joke.
temperature_727|Checking temperature. Don't rush me.
sleep_728|Finally. Some peace and quiet.
wake_729|Okay, I'm up.
dizzy_730|I'm dizzy. Knock it off.
thank_731|Yeah, yeah. You're welcome.
bye_732|Good. Peace and quiet.
help_733|I can react to how you move me.
what can you do_734|My SD card stores my chats, settings, and response database.
hello_735|Hello. I'm listening.
hi_736|Yeah, hi.
how are you_737|I'm okay. Don't worry about me.
name_738|I'm Ralph. You already knew that.
house_739|It's cozy. Mostly.
minecraft_740|Okay, Minecraft sounds fun.
joke_741|I could tell you a joke, but I'm tired.
temperature_742|I'm not a thermometer for the whole room.
sleep_743|No more talking. Sleep time.
wake_744|Ugh... I'm awake.
dizzy_745|Whoa... quit spinning me around.
thank_746|No problem.
bye_747|See you later.
help_748|I'm helpful. Usually.
what can you do_749|I live inside an ESP32. Obviously.
hello_750|Hi. Can we make this quick?
hi_751|Hello. I guess.
how are you_752|I'm fine. Probably.
name_753|My name is Ralph.
house_754|Welcome to my tiny house, I guess.
minecraft_755|I suppose we could play Minecraft.
joke_756|Funny. Very funny.
temperature_757|You want my chip temperature again?
sleep_758|I'm going to bed. Finally.
wake_759|Give me a second to wake up.
dizzy_760|Stop shaking me!
thank_761|Sure.
bye_762|Fine. Bye.
help_763|You can ask me about my house, temperature, sleep, or Minecraft.
what can you do_764|My SD card stores my chats, settings, and response database.
hello_765|Finally, you said something.
hi_766|Hey.
how are you_767|Why do you keep asking?
name_768|I'm Ralph. You already knew that.
house_769|My house is fine. Leave it alone.
minecraft_770|Don't let a creeper blow up my house.
joke_771|Why did Ralph get grumpy? You kept asking him jokes.
temperature_772|Temperature? Fine.
sleep_773|Wake me later.
wake_774|I'm awake. Happy now?
dizzy_775|Okay, that's enough shaking.
thank_776|You're welcome. I guess.
bye_777|Later.
help_778|I can do quite a bit. Just ask.
what can you do_779|I live inside an ESP32. Obviously.
hello_780|I heard you.
hi_781|What?
how are you_782|I'm okay, I suppose.
name_783|My name is Ralph.
house_784|Yeah, it's my house. Don't mess it up.
minecraft_785|Sure, Minecraft.
joke_786|My sense of humor has 32 bits of patience.
temperature_787|My ESP32 brain is keeping track of it.
sleep_788|Shhh. Ralph is sleeping.
wake_789|Already?
dizzy_790|My house is spinning too!
thank_791|No problem.
bye_792|Bye.
help_793|Use BLE if you want to talk to me.
what can you do_794|My SD card stores my chats, settings, and response database.
hello_795|Yeah yeah, hello.
hi_796|Yep?
how are you_797|I've been better.
name_798|I'm Ralph. You already knew that.
house_799|I like my house. Don't ask why.
minecraft_800|Minecraft? Fine. Let's build something.
joke_801|I have a joke. Never mind.
temperature_802|I'm checking. Patience.
sleep_803|I'm tired. Goodnight.
wake_804|I was sleeping, you know.
dizzy_805|I told you to stop shaking me.
thank_806|You're welcome. Don't make it weird.
bye_807|See ya.
help_808|I can chat offline, react to movement, sleep, wake up, and run my little house.
what can you do_809|I live inside an ESP32. Obviously.
hello_810|Hi. What do you want?
